judet,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential,country
Flintshire,-80,-44,-48,-60,-54,26,United Kingdom
Glasgow City,-84,-44,-37,-81,-60,16,United Kingdom
Gloucestershire,-86,-48,-49,-73,-55,15,United Kingdom
Greater London,-87,-48,-59,-80,-62,19,United Kingdom
Greater Manchester,-84,-46,-44,-80,-54,16,United Kingdom
Gwynedd,-87,-55,-62,-65,-56,18,United Kingdom
Hampshire,-85,-45,-48,-74,-54,15,United Kingdom
Hartlepool,-86,-44,-64,-70,-51,19,United Kingdom
Herefordshire,-86,-50,-42,-64,-46,24,United Kingdom
Hertfordshire,-85,-47,-46,-73,-56,16,United Kingdom
Highland Council,-83,-47,-48,-70,-53,24,United Kingdom
Inverclyde,-83,-37,NA,-58,-52,15,United Kingdom
Isle of Anglesey,-84,-48,-65,-63,-46,7,United Kingdom
Isle of Wight,-88,-47,-57,-76,-54,22,United Kingdom
Kent,-86,-49,-62,-68,-53,15,United Kingdom
Kingston upon Hull,-82,-45,-49,-71,-51,14,United Kingdom
Lancashire,-84,-44,-39,-71,-52,14,United Kingdom
Leicester,-84,-47,-45,-80,-51,15,United Kingdom
Leicestershire,-83,-45,-54,-72,-55,15,United Kingdom
Lincolnshire,-84,-45,-63,-67,-47,13,United Kingdom
Lisburn and Castlereagh,-87,-45,-79,-61,-56,30,United Kingdom
Luton,-79,-39,-41,-90,-49,19,United Kingdom
Medway,-85,-40,-67,-71,-51,15,United Kingdom
Merseyside,-83,-42,-53,-74,-54,15,United Kingdom
Merthyr Tydfil County Borough,-89,-50,NA,-54,-52,8,United Kingdom
Mid And East Antrim,-81,-37,-52,-56,-56,27,United Kingdom
Mid Ulster,-81,-43,NA,-51,-42,28,United Kingdom
Middlesbrough,-84,-43,-63,-73,-51,24,United Kingdom
Midlothian,-90,-43,-20,-50,-53,25,United Kingdom
Milton Keynes,-85,-49,-53,-79,-55,19,United Kingdom
Monmouthshire,-85,-56,-61,-58,-47,16,United Kingdom
Moray,-88,-45,-42,-63,-54,12,United Kingdom
Na h-Eileanan an Iar,-77,-31,NA,-54,-51,NA,United Kingdom
Neath Port Talbot Principle Area,-74,-38,-46,-60,-46,23,United Kingdom
Newport,-83,-47,-49,-66,-52,26,United Kingdom
Newry and Mourne And Down,-87,-45,-65,-55,-52,29,United Kingdom
Norfolk,-87,-52,-69,-68,-53,14,United Kingdom
North Ayrshire Council,-79,-37,-12,-59,-51,25,United Kingdom
North East Lincolnshire,-85,-46,-72,-68,-46,22,United Kingdom
North Lanarkshire,-78,-37,NA,-56,-50,13,United Kingdom
North Lincolnshire,-79,-41,-56,-58,-46,23,United Kingdom
North Somerset,-84,-50,-52,-88,-54,27,United Kingdom
North Yorkshire,-88,-48,-65,-74,-55,15,United Kingdom
Northamptonshire,-84,-42,-59,-71,-47,14,United Kingdom
Northumberland,-84,-42,-66,-61,-54,14,United Kingdom
Nottinghamshire,-90,-45,-58,-80,-56,15,United Kingdom
Orkney,-85,-40,NA,NA,-61,NA,United Kingdom
Oxfordshire,-87,-45,-48,-79,-58,17,United Kingdom
Pembrokeshire,-87,-49,-62,-61,-47,18,United Kingdom
Perth and Kinross,-86,-46,-39,-65,-54,27,United Kingdom
Peterborough,-80,-45,-36,-77,-43,17,United Kingdom
Plymouth,-87,-50,-43,-70,-54,18,United Kingdom
Portsmouth,-88,-43,-46,-71,-54,19,United Kingdom
Powys,-88,-50,-56,-63,-51,23,United Kingdom
Reading,-89,-50,-41,-84,-55,32,United Kingdom
Redcar and Cleveland,-88,-44,-63,-62,-50,23,United Kingdom
Renfrewshire,-86,-39,14,-84,-58,29,United Kingdom
Rhondda Cynon Taff,-80,-41,-47,-52,-50,19,United Kingdom
Rutland,-100,-37,-70,NA,-57,NA,United Kingdom
Scottish Borders,-88,-46,-39,-44,-51,20,United Kingdom
Shetland Islands,-85,-49,NA,-54,-60,NA,United Kingdom
Shropshire,-85,-49,-56,-70,-50,14,United Kingdom
Slough,-80,-45,-45,-78,-54,29,United Kingdom
Somerset,-86,-48,-56,-73,-49,14,United Kingdom
South Ayrshire Council,-88,-42,-35,-62,-56,20,United Kingdom
South Gloucestershire,-81,-45,-30,-64,-52,20,United Kingdom
South Lanarkshire,-78,-38,-6,-57,-54,14,United Kingdom
South Yorkshire,-86,-43,-47,-71,-53,15,United Kingdom
Southampton,-87,-41,-57,-71,-54,19,United Kingdom
Southend-on-Sea,-89,-39,-63,-79,-57,28,United Kingdom
Staffordshire,-85,-44,-54,-73,-54,14,United Kingdom
Stirling,-85,-49,-49,-76,-62,11,United Kingdom
Stockton-on-Tees,-84,-47,-60,-69,-52,25,United Kingdom
Stoke-on-Trent,-84,-44,-41,-70,-49,14,United Kingdom
Suffolk,-87,-51,-67,-69,-54,15,United Kingdom
Surrey,-85,-44,-57,-74,-59,17,United Kingdom
Swansea,-84,-50,-51,-67,-54,19,United Kingdom
Swindon,-83,-44,-30,-69,-52,28,United Kingdom
Thurrock,-88,-53,-51,-59,-50,29,United Kingdom
Torbay,-86,-44,-58,-68,-55,24,United Kingdom
Torfaen Principal Area,-82,-37,NA,-54,-53,24,United Kingdom
Tyne and Wear,-85,-47,-58,-74,-57,15,United Kingdom
Vale of Glamorgan,-84,-49,-59,-70,-54,27,United Kingdom
Warrington,-86,-42,-29,-68,-52,27,United Kingdom
Warwickshire,-86,-44,-56,-72,-54,15,United Kingdom
West Berkshire,-88,-49,-41,-82,-58,29,United Kingdom
West Dunbartonshire Council,-75,-43,NA,-54,-51,23,United Kingdom
West Lothian,-74,-29,-29,-52,-50,27,United Kingdom
West Midlands,-84,-45,-45,-78,-57,15,United Kingdom
West Sussex,-85,-46,-53,-85,-56,15,United Kingdom
West Yorkshire,-84,-44,-49,-74,-55,15,United Kingdom
Wiltshire,-84,-45,-56,-70,-54,15,United Kingdom
Windsor and Maidenhead,-88,-42,-74,-79,-63,31,United Kingdom
Wokingham,-81,-52,-26,-66,-61,32,United Kingdom
Worcestershire,-86,-47,-44,-71,-55,14,United Kingdom
Wrexham Principal Area,-83,-43,-45,-64,-48,24,United Kingdom
York,-90,-50,-64,-84,-65,29,United Kingdom
TOTAL,-85,-46,-52,-75,-55,15,United Kingdom
Alabama,-41,-13,19,-30,-32,9,United States
Alaska,-48,-27,18,-55,-33,10,United States
Arizona,-40,-17,-7,-41,-33,10,United States
Arkansas,-29,-7,81,-22,-27,7,United States
California,-50,-24,-38,-54,-39,15,United States
Colorado,-51,-27,-12,-60,-40,13,United States
Connecticut,-56,-32,-52,-64,-38,15,United States
Delaware,-47,-28,-6,-57,-37,12,United States
District of Columbia,-64,-30,-41,-68,-47,14,United States
Florida,-50,-26,-48,-63,-41,13,United States
Georgia,-42,-17,-2,-52,-37,11,United States
Hawaii,-56,-36,-65,-72,-45,16,United States
Idaho,-42,-18,25,-34,-38,10,United States
Illinois,-53,-24,-29,-55,-39,13,United States
Indiana,-48,-25,24,-34,-36,11,United States
Iowa,-43,-10,41,-28,-29,10,United States
Kansas,-36,-14,72,-20,-30,9,United States
Kentucky,-37,-11,68,-34,-34,9,United States
Louisiana,-45,-16,-18,-49,-35,11,United States
Maine,-50,-22,-24,-56,-31,10,United States
Maryland,-45,-25,29,-51,-39,13,United States
Massachusetts,-59,-36,-56,-73,-42,16,United States
Michigan,-58,-28,15,-55,-43,12,United States
Minnesota,-58,-35,-16,-64,-38,14,United States
Mississippi,-32,-7,27,-29,-30,9,United States
Missouri,-38,-12,73,-34,-32,9,United States
Montana,-51,-25,28,-37,-37,10,United States
Nebraska,-34,-9,109,-18,-24,8,United States
Nevada,-47,-23,-38,-62,-52,14,United States
New Hampshire,-58,-35,-63,-63,-38,13,United States
New Jersey,-59,-33,-36,-70,-44,16,United States
New Mexico,-44,-18,-12,-31,-34,11,United States
New York,-62,-32,-47,-68,-46,16,United States
North Carolina,-40,-15,13,-51,-35,10,United States
North Dakota,-44,-13,73,-36,-24,9,United States
Ohio,-43,-19,117,-33,-35,10,United States
Oklahoma,-36,-12,29,-23,-32,9,United States
Oregon,-51,-25,-22,-47,-38,12,United States
Pennsylvania,-50,-27,7,-52,-38,12,United States
Rhode Island,-55,-30,-50,-67,-37,14,United States
South Carolina,-38,-11,-4,-34,-34,9,United States
South Dakota,-35,-3,126,-31,-25,8,United States
Tennessee,-35,-9,35,-35,-34,8,United States
Texas,-45,-23,-27,-47,-36,13,United States
Utah,-41,-14,26,-44,-40,10,United States
Vermont,-62,-42,-55,-71,-43,13,United States
Virginia,-39,-16,46,-50,-36,11,United States
Washington,-48,-26,-11,-56,-41,13,United States
West Virginia,-38,-16,52,-31,-33,8,United States
Wisconsin,-55,-30,-12,-50,-34,13,United States
Wyoming,-37,-13,29,-14,-29,8,United States
TOTAL,-47,-22,-19,-51,-38,12,United States
