Date,country,Grocery & pharmacy,Parks,Residential,Retail & recreation,Transit stations,Workplace
2020-02-17,France,1.761,24.24,3.285,2.592,-5.231,-14.44
2020-02-17,Gabon,-6.953,-7.813,1.135,-3.499,-1.427,1.596
2020-02-17,Germany,1.78,8.707,0.671,1.879,0.937,-1.278
2020-02-17,Greece,2.95,18.578,-0.136,4.844,-8.114,0.631
2020-02-17,Guatemala,-1.31,-0.513,-0.366,-1.091,-2.077,3.793
2020-02-17,Honduras,3.705,0.28,-2.079,-1.625,-1.416,10.081
2020-02-17,Hungary,3.985,25.991,-0.354,6.161,5.811,2.705
2020-02-17,Indonesia,-2.752,-5.386,1.18,-3.162,0.054,2.54
2020-02-17,Iraq,10.198,11.784,-0.78,13.562,15.471,11.974
2020-02-17,Italy,0.788,9.852,-0.252,0.959,3.222,1
2020-02-17,Japan,1.067,-4.859,0.983,-1.213,-1.61,0.101
2020-02-17,Kenya,0.411,6.472,0.06,4.395,5.661,2.502
2020-02-17,Laos,2.937,-0.796,1.428,-1.38,-5.514,9.643
2020-02-17,Latvia,0.404,0.822,0.665,0.479,0.381,1.459
2020-02-17,Lithuania,0.928,14.458,2.776,2.366,0.827,-13.543
2020-02-17,Luxembourg,-3.986,0.365,3.802,-3.156,-11.235,-21.37
2020-02-17,Malta,4.543,29.103,-0.78,6.848,5.916,3.386
2020-02-17,Mexico,1.69,3.17,-1.85,1.332,3.892,9.892
2020-02-17,Mozambique,-5.523,-2.31,-3.074,-4.914,-3.898,16.976
2020-02-17,Netherlands,0.867,9.519,1.078,1.586,-2.792,-5.167
2020-02-17,New Zealand,-0.42,-2.456,-2.088,-1.38,12.219,25.288
2020-02-17,North Macedonia,7.908,22.574,-1.506,7.892,8.551,13.4
2020-02-17,Norway,-0.386,9.869,1.39,2.425,-4.987,-11.801
2020-02-17,Papua New Guinea,4.27,-5.837,-0.056,2.459,-4.06,7.652
2020-02-17,Poland,-0.387,16.386,0.278,4.725,0.611,1
2020-02-17,Qatar,-2.184,8.814,1.18,-1.89,0.874,3.52
2020-02-17,Romania,3.807,10.823,-1.06,3.62,6.341,1.687
2020-02-17,Singapore,-7.2,-7.003,6.814,-12.198,-14.115,-4.275
2020-02-17,Slovakia,3.151,42.741,-0.105,7.443,4.816,-6.222
2020-02-17,Slovenia,1.001,15.207,1.349,2.141,-4.548,-9.537
2020-02-17,South Africa,-10.317,-9.263,0.9,-10.505,2.034,3.994
2020-02-17,South Korea,-5.128,-13.121,3.141,-4.682,-5.458,1.097
2020-02-17,Spain,0.713,7.424,-0.589,-0.845,3.261,3.476
2020-02-17,Sweden,-1.652,1.187,1.543,-2.267,-5.359,-5.567
2020-02-17,Tanzania,-2.623,-0.835,1.193,-3.44,-0.927,0.376
2020-02-17,Thailand,0.496,-4.039,1.397,-3.014,-5.027,0.829
2020-02-17,Turkey,5.455,10.399,-1.861,5.085,4.664,8.266
2020-02-17,United Kingdom,0.368,19.769,2.25,8.406,-2.02,-13.859
2020-02-17,United States,-0.03,20.368,3.338,3.27,-5.237,-16.004
2020-02-17,Uruguay,-4.357,-19.214,1.155,-4.205,-4.134,6.402
2020-02-17,Zambia,-9.027,-2.34,2.472,-7.251,-6.105,7.204
2020-02-18,Aruba,-5.984,6.537,3.836,-0.507,2.713,-13.342
2020-02-18,Australia,-1.691,-10.484,-1.06,-2.205,7.38,13.611
2020-02-18,Belarus,4.634,3.597,-0.806,4.304,6.048,5.327
2020-02-18,Belgium,2.087,16.281,-0.22,3.189,5.29,4.353
2020-02-18,Bosnia and Herzegovina,5.306,2.951,-0.793,3.316,6.141,9.937
2020-02-18,Brazil,-1.635,-7.789,-1.093,-2.021,8.475,14.863
2020-02-18,Bulgaria,3.441,22.397,-1.411,3.266,6.88,2.94
2020-02-18,Cambodia,-1.391,-0.699,1.639,-2.042,-19.978,4.895
2020-02-18,Canada,2.627,11.452,1.121,-1.201,-2.649,-5.878
2020-02-18,Chile,6.219,11.869,0.9,0.002,-2.843,-6.789
2020-02-18,Colombia,-1.312,-3.527,-1.722,-3.698,8.564,15.54
2020-02-18,Croatia,0.503,8.583,0.504,2.087,0.441,0.72
2020-02-18,Czechia,3.475,16.04,0.34,7.038,0.425,-2.36
2020-02-18,Denmark,0.536,9.601,0.9,0.483,-1.506,-1.005
2020-02-18,Ecuador,0.882,2.904,0.958,3.635,2.192,-5.314
2020-02-18,France,-0.369,29.92,2.593,1.361,-4.266,-13.269
2020-02-18,Gabon,-7.015,-4.243,1.32,-3.599,-3.559,2.902
2020-02-18,Germany,1.355,8.198,0.9,2.544,0.147,-1.068
2020-02-18,Greece,3.951,14.058,-0.125,3.103,-10.49,0.734
2020-02-18,Guatemala,-2.022,0.585,-0.162,0.122,-1.31,3.635
2020-02-18,Honduras,1.012,0.08,-1.66,-2.944,-2.874,9.754
2020-02-18,Hungary,3.077,21.365,-0.43,4.368,4.01,2.4
2020-02-18,Indonesia,-2.63,-3.416,1.04,-3.06,0.293,1.649
2020-02-18,Iraq,11.049,11.179,-0.602,13.04,14.292,11.087
2020-02-18,Italy,0.124,14.408,-0.322,1.656,3.319,1
2020-02-18,Japan,1.818,3.314,0.771,0.669,-2.212,-0.196
2020-02-18,Kenya,-1.69,5.178,0.257,2.147,3.705,1.535
2020-02-18,Laos,1.408,0.269,1.556,-1.164,-4.421,9.298
2020-02-18,Latvia,1.04,5.046,0.06,0.822,0.295,2.12
2020-02-18,Lithuania,1.264,14.246,2.536,2.878,-0.192,-13.675
2020-02-18,Luxembourg,-5.252,-0.643,3.421,-4.135,-12.288,-21.956
2020-02-18,Malta,3.681,21.883,-0.78,7.96,6.321,3.164
2020-02-18,Mexico,-0.24,2.838,-1.422,0.23,2.581,8.375
2020-02-18,Mozambique,-7.685,-3.953,-2.314,-7.291,-5.515,14.272
2020-02-18,Netherlands,2.522,20.118,0.786,4.346,-2.912,-4.721
2020-02-18,New Zealand,1.775,0.55,-1.397,-0.348,9.185,15.328
2020-02-18,North Macedonia,7.279,17.573,-1.417,6.306,6.136,3.503
2020-02-18,Norway,1.064,27.894,0.61,4.33,-3.441,-11.689
2020-02-18,Papua New Guinea,1.029,-10.589,0.9,4.09,-3.835,7.524
2020-02-18,Poland,-0.834,13.161,0.518,3.692,-0.76,0.917
2020-02-18,Qatar,-3.324,7.916,1.097,-2.856,0.395,3.52
2020-02-18,Romania,4.66,5.382,-1.06,3.189,5.26,2.012
2020-02-18,Singapore,-10.321,-6.448,7.24,-13.187,-14.789,-4.791
2020-02-18,Slovakia,1.25,39.597,0.097,5.077,2.131,-6.542
2020-02-18,Slovenia,1.835,10.172,1.078,4.257,-4.149,-9.373
